DATE,TB3MS
2013-01-01,0.07
2013-02-01,0.1
2013-03-01,0.09
2013-04-01,0.06
2013-05-01,0.04
2013-06-01,0.05
2013-07-01,0.04
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.05
2013-11-01,0.07
2013-12-01,0.07
2014-01-01,0.04
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.03
2014-05-01,0.03
2014-06-01,0.04
2014-07-01,0.03
2014-08-01,0.03
2014-09-01,0.02
2014-10-01,0.02
2014-11-01,0.02
2014-12-01,0.03
2015-01-01,0.03
2015-02-01,0.02
2015-03-01,0.03
2015-04-01,0.02
2015-05-01,0.02
2015-06-01,0.02
2015-07-01,0.03
2015-08-01,0.07
2015-09-01,0.02
2015-10-01,0.02
2015-11-01,0.12
2015-12-01,0.23
2016-01-01,0.26
2016-02-01,0.31
2016-03-01,0.29
2016-04-01,0.23
2016-05-01,0.27
2016-06-01,0.27
2016-07-01,0.3
2016-08-01,0.3
2016-09-01,0.29
2016-10-01,0.33
2016-11-01,0.45
2016-12-01,0.51
2017-01-01,0.51
2017-02-01,0.52
2017-03-01,0.74
2017-04-01,0.8
2017-05-01,0.89
2017-06-01,0.98
2017-07-01,1.07
2017-08-01,1.01
2017-09-01,1.03
2017-10-01,1.07
2017-11-01,1.23
2017-12-01,1.32
2018-01-01,1.41
2018-02-01,1.57
2018-03-01,1.7
2018-04-01,1.76
2018-05-01,1.86
2018-06-01,1.9
2018-07-01,1.96
2018-08-01,2.03
2018-09-01,2.13
2018-10-01,2.25
2018-11-01,2.33
2018-12-01,2.37
2019-01-01,2.37
2019-02-01,2.39
2019-03-01,2.4
2019-04-01,2.38
2019-05-01,2.35
2019-06-01,2.17
2019-07-01,2.1
2019-08-01,1.95
2019-09-01,1.89
2019-10-01,1.65
2019-11-01,1.54
